skill,resource_type,resource_name,description
Python,Course,Python Fundamentals,"Learn Python programming fundamentals, data structures, and functions."
SQL,Course,SQL Fundamentals,"Master SQL syntax, joins, aggregations, and database queries."
Excel,Course,Advanced Excel,"Learn formulas, pivot tables, lookup functions, and data analysis in Excel."
Statistics,Course,Statistics for Data Analysis,"Understand descriptive & inferential statistics, probability, and hypothesis testing."
Pandas,Course,Pandas Data Analysis,"Master data manipulation, cleaning, and filtering with Python Pandas."
NumPy,Course,NumPy Fundamentals,"Learn numerical computing, multidimensional array manipulation, and linear algebra."
Data Visualization,Course,Data Visualization Principles,"Master chart selection, visual hierarchy, and storytelling with data."
Power BI,Course,Power BI Fundamentals,"Build interactive business dashboards, DAX measures, and data models."
Tableau,Course,Tableau Fundamentals,"Create interactive visual analytics, calculated fields, and executive dashboards."
Data Modeling,Course,Data Modeling Fundamentals,"Learn ER diagrams, normalization, star schema, and relational database design."
ETL,Course,ETL & Data Engineering Essentials,Understand extract-transform-load pipeline concepts and data warehouse ingestion.
Machine Learning,Course,Machine Learning Fundamentals,"Learn supervised and unsupervised ML algorithms, model evaluation, and tuning."
Scikit-learn,Course,Scikit-Learn Essentials,"Implement classification, regression, clustering, and preprocessing pipelines in Python."
Deep Learning,Course,Deep Learning Fundamentals,"Understand neural networks, backpropagation, CNNs, RNNs, and optimization techniques."
TensorFlow,Course,TensorFlow Fundamentals,"Build, train, and deploy neural network architectures using Keras and TensorFlow."
PyTorch,Course,PyTorch Fundamentals,"Master dynamic computation graphs, neural layers, and deep learning training loops."
HTML,Course,HTML Fundamentals,"Master semantic HTML5 structure, forms, tables, and document layout fundamentals."
CSS,Course,CSS Fundamentals,"Learn modern CSS layout, styling, Flexbox, CSS Grid, and responsive styling."
JavaScript,Course,JavaScript Fundamentals,"Learn modern ES6+ JavaScript, DOM manipulation, async programming, and APIs."
React,Course,React Fundamentals,"Master component-driven development, React hooks, state management, and props."
Responsive Design,Course,Responsive Web Design,"Build mobile-friendly layouts using media queries, fluid typography, and dynamic grids."
REST API,Course,REST API Integration,"Understand HTTP verbs, JSON parsing, backend API design, and Fetch integrations."
Git,Course,Git & GitHub Essentials,"Master version control, branching strategies, commit history, and GitHub PR workflows."
Linux,Course,Linux Fundamentals,"Master shell commands, file systems, permissions, package managers, and bash scripting."
Networking,Course,Networking Fundamentals,"Learn OSI model, TCP/IP protocols, DNS, DHCP, routing, and network architecture."
Cybersecurity,Course,Cybersecurity Fundamentals,"Understand security concepts, threat intelligence, encryption, and attack vectors."
Network Security,Course,Network Security & Defense,"Learn firewalls, VPNs, IDS/IPS, network monitoring, and security hardening."
SIEM,Course,SIEM Fundamentals,"Analyze security logs, configure alerts, and triage incidents using SIEM platforms."
Requirements Analysis,Course,Requirements Engineering,"Learn stakeholder interviewing, user story mapping, and functional specification docs."
Communication,Course,Professional Communication,"Enhance technical writing, presentation skills, and cross-functional team collaboration."
Problem Solving,Course,Analytical Problem Solving,"Master structured problem breakdown, root-cause analysis, and critical thinking frameworks."
